player,position,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,team,opponent,home
Eric Tomlinson,TE,1.0,25.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,PIT,False
Mark Andrews,TE,1.0,50.0,68.0,0.0,18.0,8.0,18.0,5.0,10.0,13,2021,4.0,9.0,50.0,12.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,PIT,False
Josh Oliver,TE,1.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,PIT,False
Tyler Higbee,TE,1.0,63.0,93.0,0.0,10.0,8.0,10.0,4.8,7.6,13,2021,5.0,6.0,48.0,9.6,22.0,0.0,0.0,0.0,0.0,0.0,0.0,LAR,JAC,True
Kendall Blanton,TE,1.0,10.0,15.0,0.0,20.0,10.0,20.0,0.6,6.0,13,2021,1.0,2.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,LAR,JAC,True
Nick Vannett,TE,1.0,42.0,60.0,0.0,10.0,7.0,10.0,4.8,11.4,13,2021,3.0,4.0,48.0,16.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,DAL,True
Garrett Griffin,TE,1.0,32.0,46.0,0.0,3.0,3.0,3.0,0.9,2.8,13,2021,1.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,DAL,True
Juwan Johnson,TE,1.0,24.0,34.0,0.0,4.0,4.0,4.0,2.7,11.3,13,2021,1.0,1.0,27.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,DAL,True
Gerald Everett,TE,1.0,54.0,77.0,0.0,11.0,7.0,11.0,-3.3,-6.1,13,2021,4.0,6.0,7.0,1.8,5.0,0.0,0.0,0.0,0.0,0.0,2.0,SEA,SF,True
Will Dissly,TE,1.0,33.0,47.0,0.0,6.0,6.0,6.0,0.7,2.1,13,2021,2.0,2.0,7.0,3.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,SEA,SF,True
Jonnu Smith,TE,1.0,39.0,76.0,3.0,3.0,5.0,5.0,1.1,2.8,13,2021,1.0,1.0,12.0,12.0,12.0,0.0,0.0,1.0,-1.0,0.0,0.0,NE,BUF,False
George Kittle,TE,1.0,54.0,93.0,2.0,22.0,19.0,24.0,30.6,56.7,13,2021,9.0,12.0,181.0,20.1,48.0,0.0,2.0,1.0,5.0,0.0,0.0,SF,SEA,False
Charlie Woerner,TE,1.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,SEA,False
Pharaoh Brown,TE,1.0,32.0,62.0,0.0,16.0,13.0,16.0,0.3,0.9,13,2021,4.0,5.0,23.0,5.8,12.0,0.0,0.0,0.0,0.0,0.0,1.0,HOU,IND,True
Brevin Jordan,TE,1.0,22.0,42.0,0.0,18.0,9.0,18.0,0.7,3.2,13,2021,2.0,4.0,7.0,3.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,IND,True
Dallas Goedert,TE,1.0,68.0,96.0,0.0,9.0,9.0,9.0,22.5,33.1,13,2021,6.0,6.0,105.0,17.5,36.0,0.0,2.0,0.0,0.0,0.0,0.0,PHI,NYJ,False
Mike Gesicki,TE,1.0,46.0,67.0,0.0,24.0,15.0,24.0,4.6,10.0,13,2021,7.0,11.0,46.0,6.6,17.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,NYG,True
Durham Smythe,TE,1.0,42.0,61.0,0.0,2.0,0.0,2.0,0.0,0.0,13,2021,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,NYG,True
Hunter Long,TE,1.0,10.0,14.0,0.0,10.0,10.0,10.0,0.8,8.0,13,2021,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,NYG,True
Dalton Schultz,TE,1.0,67.0,96.0,0.0,7.0,7.0,7.0,4.3,6.4,13,2021,5.0,5.0,43.0,8.6,12.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,NO,False
Noah Fant,TE,1.0,58.0,75.0,0.0,7.0,7.0,7.0,3.3,5.7,13,2021,4.0,4.0,33.0,8.3,12.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,KC,False
Albert Okwuegbunam,TE,1.0,33.0,43.0,0.0,12.0,9.0,12.0,2.1,6.4,13,2021,3.0,4.0,21.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,DEN,KC,False
T.J. Hockenson,TE,1.0,61.0,85.0,0.0,13.0,7.0,13.0,10.9,17.9,13,2021,4.0,8.0,49.0,12.3,25.0,0.0,1.0,0.0,0.0,0.0,0.0,DET,MIN,True
Brock Wright,TE,1.0,29.0,40.0,0.0,10.0,7.0,10.0,8.8,30.3,13,2021,2.0,3.0,28.0,14.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,DET,MIN,True
Rashod Berry,TE,1.0,,,,,,,0.0,,13,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,MIN,True
Foster Moreau,TE,1.0,50.0,85.0,0.0,6.0,2.0,6.0,3.4,6.8,13,2021,1.0,3.0,34.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,WAS,True
Dawson Knox,TE,1.0,56.0,97.0,0.0,11.0,4.0,11.0,1.4,2.5,13,2021,2.0,6.0,14.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,NE,True
Zach Gentry,TE,1.0,30.0,50.0,0.0,7.0,7.0,7.0,1.0,3.3,13,2021,2.0,2.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,BAL,True
Pat Freiermuth,TE,1.0,44.0,73.0,0.0,9.0,7.0,9.0,4.6,10.5,13,2021,3.0,4.0,26.0,8.7,17.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,BAL,True
