player,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,position,week,year
Jaret Patterson,1.5,7.2,0.1,0.3,2.4,0.0,0.0,1.3,WAS,RB,2,2021
Alec Ingold,0.3,1.2,0.0,0.9,7.8,0.0,0.0,1.2,LV,RB,2,2021
Damarea Crockett,1.0,6.8,0.0,0.4,2.7,0.0,0.0,1.2,DEN,RB,2,2021
Ameer Abdullah,1.2,5.0,0.0,0.6,4.0,0.0,0.0,1.2,CAR,RB,2,2021
Patrick Ricard,0.1,0.1,0.0,1.0,7.6,0.1,0.0,1.2,BAL,RB,2,2021
Travis Homer,0.7,4.7,0.0,0.5,3.8,0.0,0.0,1.2,SEA,RB,2,2021
Brandon Bolden,0.9,3.7,0.1,0.3,3.4,0.0,0.0,1.1,NE,RB,2,2021
C.J. Ham,0.3,1.2,0.0,0.7,6.0,0.0,0.0,1.0,MIN,RB,2,2021
Dare Ogunbowale,0.4,4.5,0.0,0.4,3.4,0.0,0.0,1.0,JAC,RB,2,2021
Chris Evans,0.8,4.7,0.0,0.3,2.1,0.0,0.0,0.9,CIN,RB,2,2021
Boston Scott,0.6,4.0,0.0,0.3,2.9,0.0,0.0,0.9,PHI,RB,2,2021
Keith Smith,0.6,2.4,0.0,0.7,5.2,0.0,0.0,0.9,ATL,RB,2,2021
Trey Edmunds,0.8,3.3,0.0,0.4,2.9,0.0,0.0,0.9,PIT,RB,2,2021
Khalil Herbert,0.7,3.8,0.0,0.2,1.5,0.0,0.0,0.8,CHI,RB,2,2021
Jerick McKinnon,0.7,3.6,0.0,0.4,2.8,0.0,0.0,0.8,KC,RB,2,2021
Demetric Felton,0.7,3.8,0.0,0.2,1.7,0.0,0.0,0.8,CLE,RB,2,2021
Jake Funk,0.3,3.8,0.0,0.2,1.5,0.0,0.0,0.7,LAR,RB,2,2021
Derek Watt,0.4,2.6,0.0,0.1,1.1,0.0,0.0,0.6,PIT,RB,2,2021
Mekhi Sargent,0.3,3.6,0.0,0.2,1.3,0.0,0.0,0.6,JAC,RB,2,2021
Gabe Nabers,0.5,1.8,0.0,0.3,1.9,0.0,0.0,0.6,LAC,RB,2,2021
Jason Cabinda,1.5,3.6,0.0,0.2,1.8,0.0,0.0,0.6,DET,RB,2,2021
Gary Brightwell,0.4,3.0,0.0,0.2,1.7,0.0,0.0,0.6,NYG,RB,2,2021
Corey Clement,0.6,3.1,0.0,0.1,1.2,0.0,0.0,0.6,DAL,RB,2,2021
Royce Freeman,0.7,3.5,0.0,0.2,1.3,0.0,0.0,0.5,HOU,RB,2,2021
Trenton Cannon,0.3,1.5,0.0,0.3,2.1,0.0,0.0,0.5,SF,RB,2,2021
Andy Janovich,0.1,0.5,0.0,0.3,3.3,0.0,0.0,0.5,CLE,RB,2,2021
D'Ernest Johnson,0.8,3.4,0.0,0.1,1.2,0.0,0.0,0.5,CLE,RB,2,2021
Taiwan Jones,0.4,1.7,0.0,0.1,1.7,0.0,0.0,0.4,BUF,RB,2,2021
Alex Armah Jr.,0.0,0.8,0.0,0.3,1.8,0.0,0.0,0.3,WAS,RB,2,2021
Jakob Johnson,0.0,0.2,0.0,0.3,1.6,0.0,0.0,0.3,NE,RB,2,2021
Michael Burton,0.2,0.9,0.0,0.3,1.7,0.0,0.0,0.3,KC,RB,2,2021
