rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
36.0,Albert Wilson,5.0,7.0,72.0,14.4,36.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.2,7.2,0.8,KC,WR,14,2017
37.0,Mike Wallace,3.0,5.0,72.0,24.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.2,7.2,0.0,BAL,WR,14,2017
38.0,Chris Godwin,5.0,6.0,68.0,13.6,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.8,6.8,67.1,TB,WR,14,2017
39.0,Marqise Lee,5.0,6.0,65.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,6.5,0.0,JAC,WR,14,2017
40.0,Nelson Agholor,8.0,11.0,64.0,8.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.4,6.4,13.6,PHI,WR,14,2017
42.0,Stefon Diggs,6.0,10.0,64.0,10.7,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.4,6.4,100.0,MIN,WR,14,2017
43.0,DeSean Jackson,4.0,7.0,41.0,10.3,16.0,0.0,0.0,1.0,23.0,0.0,0.0,1.0,6.4,6.4,4.4,TB,WR,14,2017
44.0,Cole Beasley,3.0,5.0,59.0,19.7,54.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.9,5.9,63.2,DAL,WR,14,2017
45.0,Eric Decker,3.0,5.0,56.0,18.7,29.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.6,5.6,0.6,TEN,WR,14,2017
46.0,Josh Bellamy,2.0,4.0,52.0,26.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.2,5.2,0.0,CHI,WR,14,2017
47.0,Roger Lewis,7.0,11.0,46.0,6.6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,4.6,0.0,NYG,WR,14,2017
48.0,A.J. Green,5.0,12.0,64.0,12.8,20.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.4,4.4,51.8,CIN,WR,14,2017
49.0,Larry Fitzgerald,5.0,7.0,44.0,8.8,23.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.4,4.4,0.3,ARI,WR,14,2017
50.0,Travis Benjamin,2.0,4.0,21.0,10.5,14.0,0.0,0.0,1.0,22.0,0.0,0.0,1.0,4.3,4.3,0.0,LAC,WR,14,2017
51.0,DeVante Parker,4.0,6.0,40.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,64.3,MIA,WR,14,2017
52.0,Randall Cobb,8.0,8.0,39.0,4.9,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9,3.9,7.6,GB,WR,14,2017
53.0,Brandin Cooks,1.0,7.0,38.0,38.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.8,3.8,92.7,NE,WR,14,2017
54.0,Damiere Byrd,5.0,5.0,37.0,7.4,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7,3.7,0.1,CAR,WR,14,2017
55.0,Cody Latimer,2.0,3.0,37.0,18.5,27.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.7,3.7,0.0,DEN,WR,14,2017
