player,team,games,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,total_receiving_tgt,receiving_tgt_per_game,total_receiving_tgt_rank,receiving_tgt_per_game_rank
James Washington,PIT,15,2.0,1.0,5.0,5.0,0.0,1.0,0.0,1.0,3.0,6.0,3.0,2.0,1.0,6.0,5.0,2.0,1.0,0.0,42.0,2.8,96.5,120.0
Marcus Johnson,TEN,7,0.0,0.0,0.0,0.0,5.0,1.0,1.0,5.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.7142857142857144,135.0,121.0
Jalen Guyton,LAC,16,5.0,2.0,1.0,2.0,3.0,5.0,0.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,0.0,2.0,9.0,43.0,2.6875,95.0,122.0
Dez Fitzpatrick,TEN,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.6666666666666665,166.5,123.5
Preston Williams,MIA,6,0.0,3.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.6666666666666665,146.0,123.5
Tajae Sharpe,ATL,14,0.0,2.0,1.0,2.0,5.0,0.0,2.0,6.0,1.0,1.0,4.0,3.0,5.0,2.0,1.0,0.0,0.0,2.0,37.0,2.642857142857143,106.5,125.0
Collin Johnson,NYG,8,0.0,0.0,7.0,0.0,3.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,2.625,129.5,126.0
Demarcus Robinson,KC,15,2.0,4.0,2.0,0.0,2.0,6.0,4.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,3.0,2.0,2.0,6.0,39.0,2.6,100.0,127.5
Juwann Winfree,GB,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,13.0,2.6,153.0,127.5
DeAndre Carter,WAS,17,0.0,0.0,0.0,1.0,8.0,1.0,1.0,6.0,0.0,6.0,3.0,5.0,1.0,6.0,3.0,2.0,0.0,1.0,44.0,2.588235294117647,93.0,129.0
Marquise Goodwin,CHI,14,4.0,3.0,1.0,2.0,2.0,1.0,4.0,3.0,4.0,0.0,8.0,1.0,0.0,0.0,0.0,2.0,2.0,3.0,36.0,2.5714285714285716,109.5,130.0
Noah Brown,DAL,10,0.0,0.0,1.0,0.0,4.0,2.0,0.0,2.0,1.0,1.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,2.5,118.5,131.5
Chris Conley,HOU,14,2.0,2.0,1.0,1.0,4.0,2.0,0.0,2.0,3.0,0.0,5.0,0.0,4.0,2.0,4.0,3.0,2.0,0.0,35.0,2.5,111.5,131.5
Chris Moore,HOU,9,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,22.0,2.4444444444444446,126.0,133.0
DeSean Jackson,LV,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,3.0,5.0,3.0,0.0,19.0,2.375,135.0,134.5
D'Wayne Eskridge,SEA,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,4.0,3.0,3.0,0.0,19.0,2.375,135.0,134.5
Cody Hollister,TEN,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,2.3333333333333335,169.5,136.0
Chester Rogers,TEN,16,6.0,5.0,2.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,3.0,0.0,1.0,4.0,1.0,2.0,2.0,37.0,2.3125,106.5,137.0
Freddie Swain,SEA,17,1.0,5.0,2.0,4.0,3.0,3.0,6.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,39.0,2.2941176470588234,100.0,138.0
Malik Turner,DAL,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,16.0,2.2857142857142856,146.0,139.5
