rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_yr,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,fumbles_lost,games,fantasy_points,fantasy_points_per_game,rost,team,year,position
54,Brock Wright,12,17,117,9.8,36,0,2,0,0,0,0,8,23.7,3.0,0.1,DET,2021,TE
55,Tyler Kroft,16,25,173,10.8,26,0,1,0,0,0,0,9,23.3,2.6,0.2,NYJ,2021,TE
56,Stephen Anderson,16,19,165,10.3,34,0,1,0,0,0,0,14,22.5,1.6,0.2,LAC,2021,TE
57,Blake Jarwin,11,17,96,8.7,20,0,2,0,0,0,0,8,21.6,2.7,2.7,DAL,2021,TE
58,Marcedes Lewis,23,28,214,9.3,23,0,0,0,0,0,0,13,21.4,1.6,0.2,GB,2021,TE
59,Eric Ebron,12,18,84,7.0,19,0,1,1,1,1,0,8,20.5,2.6,3.0,FA,2021,TE
60,O.J. Howard,14,21,135,9.6,21,0,1,0,0,0,0,11,19.5,1.8,1.2,TB,2021,TE
61,Nick Vannett,9,15,133,14.8,30,0,1,0,0,0,0,7,19.3,2.8,0.1,NO,2021,TE
62,Ian Thomas,18,30,188,10.4,41,0,0,0,0,0,0,14,18.8,1.3,0.1,CAR,2021,TE
63,Jordan Akins,24,33,214,8.9,31,0,0,1,3,0,2,12,17.7,1.5,0.3,HOU,2021,TE
